Story,Label,UniqueName,Section,Location,Moment negative,Combo,As Top,Moment positive,Combo,As Bot
Story2,B11,90,CB-12 40x60,End-J,-2367841.72,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,11.74,719473.61,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.54
Story2,B8,69,CB-12 40x60,End-J,-2340997.8,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,11.59,721692.15,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.55
Story2,B11,90,CB-12 40x60,End-I,-2326797.02,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,11.52,747603.37,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.72
Story2,B9,66,CB-12 40x60,End-I,-2317952.58,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,11.47,653930.29,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.12
Story2,B8,69,CB-12 40x60,End-I,-2291280.69,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,11.33,713511.58,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.5
Story1,B11,88,CB-12 40x60,End-J,-2266705.58,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,11.2,680233.65,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.28
Story2,B6,72,CB-12 40x60,End-J,-2256581.27,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,11.15,564180.91,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,3.54
Story1,B8,67,CB-12 40x60,End-J,-2247491.46,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,11.1,676852.59,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.26
Story2,B9,66,CB-12 40x60,End-J,-2241506.02,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,11.07,658615.01,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.15
Story1,B11,88,CB-12 40x60,End-I,-2229282.99,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,11,703827.36,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.44
Story1,B9,64,CB-12 40x60,End-I,-2226093.32,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.99,613272.31,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.86
Story2,B6,72,CB-12 40x60,End-I,-2208053.75,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,10.89,562894.95,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,3.53
Story2,B2,87,CB-12 40x60,End-I,-2194775.61,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,10.82,600215.85,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,3.77
Story3,B6,71,CB-12 40x60,End-J,-2190919.4,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,10.8,519411.78,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,3.26
Story1,B6,70,CB-12 40x60,End-J,-2189033.45,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.79,534455.18,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.35
Story3,B11,89,CB-12 40x60,End-J,-2188990.77,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,10.79,620599.59,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.9
Story1,B8,67,CB-12 40x60,End-I,-2186827.85,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.78,675941.86,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.26
Story2,B3,84,CB-12 40x60,End-I,-2182007.26,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.75,642558.35,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.04
Story2,B2,87,CB-12 40x60,End-J,-2175860.61,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.72,604146.59,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,3.8
Story2,B10,63,CB-12 40x60,End-J,-2169193.34,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.69,648026.94,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.08
Story3,B8,68,CB-12 40x60,End-J,-2165936.94,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,10.67,639848.06,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,4.03
Story3,B8,68,CB-12 40x60,End-I,-2155136.08,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,10.61,626435.63,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,3.94
Story1,B9,64,CB-12 40x60,End-J,-2152373.69,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.6,619280.17,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.89
Story2,B10,63,CB-12 40x60,End-I,-2141028.54,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.54,636894.25,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.01
Story3,B6,71,CB-12 40x60,End-I,-2140421.12,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,10.54,518798.54,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,3.25
Story3,B11,89,CB-12 40x60,End-I,-2139041.18,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.53,649224.93,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.09
Story3,B9,65,CB-12 40x60,End-I,-2133935.47,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.5,549334.67,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.45
Story3,B2,86,CB-12 40x60,End-I,-2126035.58,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,10.46,548280.94,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,3.44
Story2,B3,84,CB-12 40x60,End-J,-2124395.31,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.45,645619.04,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,4.06
Story1,B6,70,CB-12 40x60,End-I,-2123452.91,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.45,532373.61,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.34
Story2,B7,75,CB-12 40x60,End-I,-2113521.6,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,10.39,599661.84,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,3.77
Story1,B3,82,CB-12 40x60,End-I,-2110940.81,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.38,628006.82,2) 1.3CMT+1.5CVM,3.95
Story2,B7,75,CB-12 40x60,End-J,-2107340.36,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,10.36,603711.7,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,3.79
Story1,B2,85,CB-12 40x60,End-I,-2103878.54,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.34,566953.11,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.56
Story1,B2,85,CB-12 40x60,End-J,-2095489.78,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.3,565519.85,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.55
Story3,B2,86,CB-12 40x60,End-J,-2094479.09,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,10.3,557869.15,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,3.5
Story1,B10,61,CB-12 40x60,End-J,-2073433.64,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.19,609621.8,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.83
Story3,B3,83,CB-12 40x60,End-I,-2059815.8,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,10.11,618633.2,2) 1.3CMT+1.5CVM,3.89
Story3,B9,65,CB-12 40x60,End-J,-2058815.94,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.11,554493.23,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.48
Story1,B10,61,CB-12 40x60,End-I,-2056958.23,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.1,596082.49,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.75
Story1,B3,82,CB-12 40x60,End-J,-2051303.58,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,10.07,623289.66,2) 1.3CMT+1.5CVM,3.92
Story3,B7,74,CB-12 40x60,End-I,-2042910.34,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,10.03,548549.13,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,3.44
Story2,B4,81,CB-12 40x60,End-J,-2034193.59,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,9.98,534817.29,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.36
Story3,B7,74,CB-12 40x60,End-J,-2021017.86,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,9.91,558692.52,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,3.51
Story3,B3,83,CB-12 40x60,End-J,-2017038.72,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,9.89,613743.66,2) 1.3CMT+1.5CVM,3.86
Story1,B7,73,CB-12 40x60,End-J,-1994341.62,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,9.77,541305.81,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.4
Story3,B10,62,CB-12 40x60,End-J,-1994243.24,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,9.77,543212.34,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.41
Story1,B4,79,CB-12 40x60,End-J,-1984632.31,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,9.72,515135.83,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.23
Story1,B7,73,CB-12 40x60,End-I,-1982300.96,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,9.71,544597.97,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.42
Story3,B10,62,CB-12 40x60,End-I,-1958815.16,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,9.59,536806.8,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.37
Story3,B4,80,CB-12 40x60,End-J,-1910533.89,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,9.34,499433.61,2) 1.3CMT+1.5CVM,3.13
Story2,B4,81,CB-12 40x60,End-I,-1903081.99,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,9.3,506726.13,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.18
Story4,B6,169,CB-12 40x60,End-J,-1862616.28,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,9.09,417925.79,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,2.61
